,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1597,1403,1561,1981,3025,4555,4392,7042,13694,25102,47738,96645,194224,462640,794435,1545069,3041836,6198695
1,717,725,649,852,1192,1923,3377,6502,12325,25490,48869,96428,192609,387342,781895,1538857,3080142,6166139
2,607,557,658,825,1185,1907,3427,6553,12384,25208,48562,104965,191907,384565,768062,1552381,3089865,6154542
3,677,570,641,829,1215,1937,3407,6452,12460,24641,48332,97277,193824,384112,769912,1539719,3322318,6619843
4,617,557,641,825,1187,1921,3932,6481,12325,24116,49766,95709,190733,384584,771006,1531156,3319371,6184557
5,666,575,675,828,1198,1964,3673,6344,12175,25328,48245,95344,191130,383103,767289,1531743,3325016,6380214
6,673,592,645,861,1187,2095,3461,6433,14021,24156,48982,95970,191521,383927,761014,1536115,3246085,6145736
7,712,710,653,829,1205,1925,3430,6461,13632,24932,50923,95794,192238,382170,766762,1534771,3100879,6153017
8,666,635,649,830,1219,1923,4272,6361,12163,24395,47805,96289,191284,386513,771230,1551629,3080852,6174594
9,676,1150,1506,1872,2732,4459,4765,6589,12598,24162,48308,95862,190662,392492,768326,1536574,3093653,6611435
10,660,581,668,830,1980,1941,3417,6540,12478,24308,48282,96352,192990,384638,769558,1917050,3061456,6055275
11,733,573,642,830,1190,1943,3381,6337,12201,23915,47204,94177,188800,375391,751806,1513232,3026750,6171367
12,654,569,675,828,1195,1928,3634,6401,12483,24214,48509,95947,197705,388245,767849,1538149,3249600,6585151
13,778,685,773,989,1432,2702,4050,7737,14762,28750,57412,116227,192124,389087,774287,1541355,3076210,6648729
14,760,572,646,874,1219,2149,3414,7306,12353,25967,48643,113849,229886,426213,774043,1548912,3209772,6276438
