,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,606,621,760,1179,1923,3359,3275,5853,10814,20236,36491,80227,188737,537512,1765702,6360990,32169022,196002991
1,14254,341,326,459,674,1190,2241,4792,8734,17717,37929,82958,194575,516706,1859712,6151508,39280529,198427870
2,14292,306,295,418,669,1211,2832,4421,8712,17816,37915,82650,195322,518325,1616076,6345533,37715691,192638287
3,14889,316,312,426,693,1185,2204,4845,9411,17439,38076,83121,195551,531910,1605809,6435998,36765876,192174292
4,15076,296,309,413,667,1205,2208,4362,8691,17540,38822,85699,193285,512879,1603531,6051261,35205258,193215887
5,15710,319,307,424,744,1192,2202,4500,8562,21242,37357,82804,197770,514649,1606144,6043079,35823008,187844566
6,15869,320,309,420,675,1190,2193,4256,9034,17426,37434,83309,196772,511937,1606854,6011188,35113632,185985127
7,16622,325,335,428,670,1205,2244,4569,8895,17700,37032,83288,194621,518221,1600380,6311177,35003719,187081765
8,13810,315,316,423,706,1183,2255,4331,8606,17681,37684,85123,202996,513222,1867225,6002751,35058828,188030561
9,14017,326,667,956,1532,2707,5074,4592,8661,17691,37429,85889,195160,517329,1608196,6344486,35037223,191973103
10,14891,321,304,416,674,1311,2246,4566,8772,17943,37960,83022,199231,531737,1609541,7299894,38637167,182272669
11,14778,322,312,425,692,1182,2208,4291,8573,17214,36518,80633,199031,503717,1574626,5804314,34236203,194663833
12,15587,311,335,427,669,1275,2222,4328,8740,18026,37243,82875,200811,516053,1628569,6289084,36253840,192442231
13,16923,365,382,500,793,1396,2656,5444,10040,21383,44000,97200,212279,518123,1605452,6202322,37192699,192708434
14,16764,322,309,423,671,1214,2205,5459,8878,17313,38038,94218,234439,611306,1605489,6160730,36373679,192899667
